Lyrics (Verse),Song Title
"I'm the biggest hypocrite of 2015
Once I finish this, witnesses will convey just what I mean
Been feelin' this way since I was sixteen, came to my senses
You never liked us anyway, fuck your friendship, I meant it
I'm African-American, I'm African, I'm black as the moon
Heritage of a small village, pardon my residence
Came from the bottom of mankind
My hair is nappy, my dick is big, my nose is round and wide
You hate me, don't you?
You hate my people, your plan is to terminate my culture
You're fuckin' evil
I want you to recognize that I'm a proud monkey
You vandalize my perception but can't take style from me
And this is more than confession
I mean I might press the button just so you know my discretion
I'm guardin' my feelings, I know that you feel it
You sabotage my community, makin' a killin'
You made me a killer, emancipation of a real nigga",The Blacker the Berry
"So I was takin' a walk the other day
And I seen a woman—a blind woman
Pacin' up and down the sidewalk
She seemed to be a bit frustrated
As if she had dropped somethin' and
Havin' a hard time findin' it
So after watchin' her struggle for a while
I decide to go over and lend a helping hand, you know?
""Hello, ma'am, can I be of any assistance?
It seems to me that you have lost something
I would like to help you find it""
She replied, ""Oh, yes, you have lost something
You've lost… your life""",Blood.
"Taking off when you landing
Bitch niggas gonna throw tantrums
And I'm dancing on them stars
The galaxy ain't got room for y'all
Ain't nothing gonna happen soon for y'all
While I'm here and every day I hear
Your bullshit, self-pity
Reason why you never dealt with me
Reason why your girl dealt with me
Hands up, in the building, we get busy and say",Blow My High (Members Only)
"Babies from '80s don't know, know no better
Don't nothing go better with ignorance but the belligerent kids that we living with
Some of them masculine, some of them feminine
'Member the universe used to be innocent?
Now they just look at us crazy like immigrants
Every day that I wake up, I'ma sin again
I'm not a citizen, I'm just a nigga from Section.80",Chapter Ten
"Uh, dark as the midnight hour or bright as the mornin' sun
Give a fuck about your complexion, I know what the Germans done
Sneak (Dissin')
Sneak me through the back window, I’m a good field nigga
I made a flower for you outta cotton just to chill with you
You know I'd go the distance, you know I'm ten toes down
Even if master listenin', cover your ears, he 'bout to mention",Complexion (A Zulu Love)
"Now everybody serenade the new faith of Kendrick Lamar
This is King Kendrick Lamar
King Kendrick and I meant it, my point intended is raw
Fix your lenses forensics would've told you Kendrick had killed it
Pretend it's a massacre and the masses upon us
And I mastered being the master at dodging your honor
And the chapter that read at 25 I would live dormant like five in the morning
They raid your spot while Kendrick's performing
And if they take everything, know I got",Compton
"One of these lives, I'ma make things right
With the wrongs I've done, that's when I unite
With the Father, Son, 'til then, I fight
Rain on me, put the blame on me
Got guilt, got hurt, got shame on me
Got six magazines that's aimed at me
Done every magazine, what's fame to me?
(And I'm tripping and falling)
It's a game to me, where the bedroom at?
Sleep, I ain't nevеr had affairs with that
What's fair when the hearts and thе words don't reach?
What's fair when the money don't take things back?
It's rare when somebody take your dreams back
(And I'm tripping and falling)
I care too much, wanna share too much, in my head too much
I shut down too, I ain't there too much
I'm a complex soul, they layered me up
Then broke me down, and morality's dust, I lack in trust
(And I'm tripping and falling)
This time around, I trust myself
Please everybody else but myself
All else fails, I was myself
Outdone fear, outdone myself
This year, you better one yourself
(And I'm tripping and falling)
Masks on the babies, mask on an opp
Wear masks in the neighborhood stores you shop
But a mask won't hide who you are inside
Look around, the reality's carved in lies
Wipe my ego, dodge my pride
(And I'm tripping and falling)
Look myself in the mirror
Amityville, ain't seen nothin' scarier
I fought like a pitbull terrier
Blood I shed could fill up aquariums
Tell all my angels, ""Carry 'em""
(And I'm tripping and falling)
Every emotion been deprived
Even my strong points couldn't survive
If I didn't learn to love myself, forgive myself a hundred times, dawg",Count Me Out
"You walk around like everything is in control
Favor come with favors and you can't say no
Go out the way to make the coin available
That's what I call love
The closest ones afraid to say they need some time
The turnaround is life or death, but you don't mind
Go out the way to say you made the compromise
That's what I call love",Crown
"Do you love me? (Okay) Do you trust me? (Okay)
Can I trust you? (Okay) Don't judge me (Okay)
I'ma die hard, it gets ugly (Okay)
Too passionate, it gets ugly (Okay)
Mmm, ah-ah
I wonder where I lost my way
Mmm, ah-ah
Been waiting on your call all day
Tell me you in my corner right now
When I fall short, I'm leaning on you to cry out
We all got enough to lie about
My truth too complicated to hide now
Can I open up? Is it safe or not?
I'm afraid a little, you relate or not?
Have faith a little, I might take my time
Ain't no saving face this time",Die Hard
"I got, I got, I got, I got—
Loyalty, got royalty inside my DNA
Cocaine quarter piece, got war and peace inside my DNA
I got power, poison, pain, and joy inside my DNA
I got hustle, though, ambition flow inside my DNA
I was born like this, since one like this, immaculate conception
I transform like this, perform like this, was Yeshua new weapon
I don't contemplate, I meditate, then off your fucking head
This that put-the-kids-to-bed
This that I got, I got, I got, I got—
Realness, I just kill shit ’cause it's in my DNA
I got millions, I got riches buildin' in my DNA
I got dark, I got evil that rot inside my DNA
I got off, I got troublesome heart inside my DNA
I just win again, then win again like Wimbledon, I serve
Yeah, that’s him again, the sound that engine in is like a bird
You see fireworks and Corvette tire skrrt the boulevard
I know how you work, I know just who you are
See, you's a, you's a, you's a—
Bitch, your hormones prolly switch inside your DNA
Problem is, all that sucker shit inside your DNA
Daddy prolly snitched, heritage inside your DNA
Backbone don't exist, born outside a jellyfish, I gauge
See, my pedigree most definitely don't tolerate the front
Shit I've been through prolly offend you, this is Paula's oldest son
I know murder, conviction
Burners, boosters, burglars, ballers, dead, redemption
Scholars, fathers dead with kids and
I wish I was fed forgiveness
Yeah, yeah, yeah, yeah, soldier’s DNA (I’m a soldier's DNA)
Born inside the beast, my expertise checked out in second grade
When I was 9, on cell, motel, we didn’t have nowhere to stay
At 29, I've done so well, hit cartwheel in my estate
And I'm gon' shine like I’m supposed to, antisocial extrovert
And excellent mean the extra work
And absentness what the fuck you heard
And pessimists never struck my nerve
And Nazareth gonna plead his case
The reason my power's here on earth
Salute the truth, when the prophet say",DNA.
"Oh, Lamar
Hail Mary and marijuana, times is hard
Pray with the hooligans, shadows all in the dark
Fellowship with demons and relatives, I'm a star
Life is one funny ma'fucker
A true comedian, you gotta love him, you gotta trust him
I might be buggin', infomercials and no sleep
Introverted by my thoughts; children, listen, it gets deep
See, once upon a time inside the Nickerson Garden projects
The object was to process and digest poverty's dialect
Adaptation inevitable: gun violence, crack spot
Federal policies raid buildings and drug professionals
Anthony was the oldest of seven
Well-respected, calm and collected
Laughin' and jokin' made life easier; hard times, mama on crack
A four-year-old tellin' his nanny he needed her
His family history: pimpin' and bangin'
He was meant to be dangerous, clocked him a grip and start slangin'
Fifteen, scrapin' up his jeans with quarter pieces
Even got some head from a smoker last weekend
Dodged a policeman, workin' for his big homie
Small-time hustler, graduated to a brick on him
Ten-thousand dollars out of a project housing, that's on the daily
Seen his first mill' twenty years old, had a couple of babies
Had a couple of shooters, caught a murder case
Fingerprints on the gun they assumin', but witnesses couldn't prove it
That was back when he turned his back and they killed his cousin
He beat the case and went back to hustlin'
Bird-shufflin', Anthony rang
The first in the projects with the two-tone Mustang, that 5.0 thing They say 5-0 came, circlin' parking lots and parking spots
And hoppin' out while harrassin' the corner blocks
Crooked cops told Anthony he should kick it
He brushed 'em off and walked back to the Kentucky Fried Chicken
See, at this chicken spot, there was a light-skinned nigga that talked a lot
With a curly top and a gap in his teeth, he worked the window
His name was Ducky, he came from the streets, The Robert Taylor Homes
Southside Projects, Chiraq, the Terror Dome
Drove to California with a woman on him and five-hundred dollars
They had a son, hopin' that he'd see college
Hustlin' on the side with a nine-to-five to freak it
Cadillac Seville, he'd ride his son around on weekends
Three-piece special with his name on the shirt pocket
'Cross the street from the projects, Anthony planned to rob it
Stuck up the place before, back in '84
That's when affiliation was really at gears of war
So many relatives tellin' us, sellin' us devilish works, killin' us, crime
Intelligent, felonious prevalent proposition with 9's
Ducky was well-aware
They robbed the manager and shot a customer last year
He figured he'd get on these niggas' good sides
Free chicken every time Anthony posted in line, two extra biscuits
Anthony liked him and then let him slide, they didn't kill him
In fact, it look like they're the last to survive, pay attention
That one decision changed both of they lives, one curse at a time
Reverse the manifest and good karma, and I'll tell you why
You take two strangers and put 'em in random predicaments
Give 'em a soul, so they can make their own choices and live with it
Twenty years later, them same strangers, you make 'em meet again
Inside recording studios where they reapin' their benefits
Then you start remindin' them about that chicken incident
Whoever thought the greatest rapper would be from coincidence?
Because if Anthony killed Ducky, Top Dawg could be servin' life
While I grew up without a father and die in a gunfight
*Gunshot*",Duckworth.
"I'm willin' to die for this shit
I done cried for this shit, might take a life for this shit
Put the Bible down and go eye for an eye for this shit
D-O-T my enemy, won't catch a vibe for this shit, ayy
I been stomped out in front of my mama
My daddy commissary made it to commas
Bitch, all my grandmas dead
So ain't nobody prayin' for me, I'm on your head, ayy
Thirty millions later, know the feds watchin'
Auntie on my Telegram like, ""Be cautious!""
I be hangin' out at Tam's, I be on Stockton
I don't do it for the 'Gram, I do it for Compton
I'm willin' to die for this shit, nigga
I'll take your fuckin' life for this shit, nigga
We ain't goin' back to broke, family sellin' dope
That's why you maney-ass rap niggas better know",Element.
"I come from a generation of home invasions and I got daddy issues, that's on me
Everything them four walls had taught me, made habits bury deep
That man knew a lot, but not enough to keep me past them streets
My life is a plot, twisted from directions that I can't see
Daddy issues ball across my head, told me, ""Fuck a foul""
I'm teary-eyed, wanna throw my hands, I won't think out loud
A foolish pride, if I lose again, won't go in the house
I stayed outside, laughin' with my friends, they don't know my lifе
Daddy issues made me lеarn losses, I don't take those well
Momma said, ""That boy is exhausted,"" he said, ""Go fuck yourself
If he give up now, that's gon' cost him, life's a bitch
You could be a bitch or step out the margin,"" I got up quick
I'm chargin' baskets and falling backwards, tryna keep balance
Oh, this the part where mental stability meets talent
Oh, this the part, he breaks my humility just for practice
Tactics we learned together, sore losers forever, daddy issues",Father Time
"I beat yo’ ass, keep talkin' back
I beat yo' ass, who bought you that?
You stole it, I beat yo' ass if you say that game is broken
I beat yo' ass if you jump on my couch
I beat yo' ass if you walk in this house
With tears in your eyes, runnin' from Poo Poo and Prentice
Go back outside, I beat yo' ass, lil' nigga
That homework better be finished, I beat yo' ass
Your teachers better not be bitchin' 'bout you in class
That pizza better not be wasted, you eat it all
That TV better not be loud if you got it on
Them Jordans better not get dirty when I just bought 'em
Better not hear 'bout you humpin' on Keisha's daughter
Better not hear you got caught up
I beat yo' ass, you better not run to your father
I beat yo' ass, you know my patience runnin' thin
I got buku payments to make
County building's on my ass, tryna take my food stamps away
I beat yo' ass if you tell them social workers he live here
I beat yo' ass if I beat yo' ass twice and you still here
Seven years old, think you run this house by yourself?
Nigga, you gon' fear me if you don't fear no one else",Fear.
"I feel like a chip on my shoulders
I feel like I'm losin' my focus
I feel like I'm losin' my patience
I feel like my thoughts in the basement
Feel like, I feel like you're miseducated
Feel like I don't wanna be bothered
I feel like you may be the problem
I feel like it ain't no tomorrow, fuck the world
The world is endin', I'm done pretendin'
And fuck you if you get offended
I feel like friends been overrated
I feel like the family been fakin'
I feel like the feelings are changin'
Feel like my thought of compromise is jaded
Feel like you wanna scrutinize how I made it
Feel like I ain't feelin' you all
Feel like removin' myself, no feelings involved
I feel for you, I've been in the field for you
It's real for you, right? Shit, I feel like—",Feel.
"This dick ain't free
You lookin' at me like it ain't a receipt
Like I never made ends meet
Eating your leftovers and raw meat
This dick ain't free
Livin' in captivity raised my cap salary
Celery, tellin' me green is all I need
Evidently, all I seen was Spam and raw sardines
This dick ain't free, I mean, baby
You really think we could make a baby named Mercedes
Without a Mercedes Benz and twenty-four-inch rims
Five percent tint, and air conditioning vents?
Hell fuckin' naw, this dick ain't free
I need forty acres and a mule
Not a forty ounce and a pitbull
Bullshit, matador, matador
Had the door knockin', let 'em in, who's that?
Genital's best friend, this dick ain't free
Pity the fool that made the pretty in you prosper
Titty juice and pussy lips kept me obnoxious
Kept me up watchin' pornos in poverty; apology? No
Watch you politic with people less fortunate, like myself
Every dog has its day, now doggy style shall help
This dick ain't free
Matter of fact, it need interest
Matter of fact, it's nine inches
Matter of fact, see our friendship based on business
Pension, more pension, you're pinchin' my percents
It's been relentless, fuck forgiveness, fuck your feelings
Fuck your sources, all distortion, if you fuck it's more abortion
More divorce courts and portion
My check with less endorsement left me dormant
Dusted, doomed, disgusted, forced with
Fuck you think is in more shit?
Porcelain pipes pressure, bust 'em twice
Choice is devastated, decapitated the horseman
Oh America, you bad bitch, I picked cotton and made you rich
Now my dick ain't free",For Free? (Interlude)
"I remember you took me to the mall last week, baby
You looked me in my eyes about four, five times
'Til I was hypnotized, then you clarified
That I (want you)
You said Sherane ain't got nothing on Lucy
I said, ""You crazy?""
Roses are red, violets are blue
But me and you both pushing up daisies if I (want you)",For Sale? (Interlude)
"Fire burning inside my eyes, this the music that saved my life
Y'all be calling it hip-hop, I be calling it hypnotize
Yeah, hypnotize, trapped my body, but freed my mind
What the fuck are you fighting for? Ain't nobody gon' win that war
My details be retail, man, I got so much in store
Racism is still alive, yellow tape and colored lines
Fuck that, nigga, look at that line, it's so diverse
They gettin' off work and they wanna see Kendrick
Everybody can't drive Benzes, and I been there, so I make it my business
To give 'em my full attention, ten-hut, man, I gotta get my wind up
Man, I gotta get down with God 'cause I got my sins up, ooh
Matter fact, don't mistake me for no fuckin' rapper
They sit backstage and hide behind them fuckin' cameras
I mosh pit, had a microphone and I tossed it
Had a brain, then I lost it
I'm out of my mind, so don't you mind how much the cost is
Penny for my thoughts, everybody, please hold up your wallets
Yeah, man, I'm the mailman, can't you tell, man?
Gone postal, never freeze up when I approach you
That's starstruck and roast you, oh my
HiiiPower",Fuck Your Ethnicity
"Ever since a young man (Since a young man)
All I wanna be was a gunman (Was a gunman)
Shootin’ up the charts, better run, man
Y'all gotta see that I won, man
Slick as El DeBarge with the finger waves, work it, JT
Handle bars like a fade, watch me work it, JT
I'm at large, runnin’ plays like a circuit, JT
I'm sellin' verses, JT, watch me work it, JT
Look, look… hol' up!
Don't judge me! My mama caught me with a strap
Don't judge me! I was young, fuckin' all the brats
Don't judge me! Aimin’ at your head for a stack
Don’t judge! Don't judge me! Now my home got a Valley peak
Don’t judge me! If I press your line you a freak
Don't judge me! Won't you tell a friend? Y'all gon’ see—",God.
"Look inside these walls and you see I'm havin' withdrawals
Of a prisoner on his way
Trapped inside your desire to fire bullets that stray
Track attire just tell you I'm tired and ran away
I should ask a choir: ""What do you require
To sing a song that acquire me to have faith?""
As the record spin I should pray
For the record, I recognize that I'm easily prey
I got ate alive yesterday
I got animosity buildin', it's prob'ly big as a buildin'
Me jumpin' off of the roof is me just playin' it safe
But what am I 'posed to do when the topic is red or blue
And you understand that I ain't
But know I'm accustomed to just a couple that look for trouble
And live in the street with rank
No better picture to paint than me walkin' from Bible study
And called his homies because he had said he noticed my face
From a function that tooken place, they was wonderin' if I bang
Step on my neck and get blood on your Nike checks
I don't mind 'cause one day you'll respect
The good kid, m.A.A.d city",Good Kid
"I come from a generation of pain, where murder is minor
Rebellious and Margielas'll chip you for designer
Belt buckles and clout, overzealous if prone to violence
Make the wrong turn, be it will or the wheel alignment
Residue burned, mist of the inner-city
Miscommunication to keep homi' detective busy
No protection is risky
Desensitized, I vandalized pain, covered up and camouflaged
Get used to hearin' arsenal rain
Analyze, risk your life, take the charge
Homies done fucked your baby mama once you hit the yard
That's culture
Twenty-three hour lockdown, then somebody called
Said your lil' nephew was shot down, the culture's involved
I done seen niggas do seventeen, hit the halfway house
Get out and get his brains blown out, lookin' to buy some weed
Car wash is played out, new GoFundMe accounts'll proceed
A brand-new victim'll shatter those dreams
The culture",The Heart Part 5
"Visions of Martin Luther staring at me
Malcolm X put a hex on my future, someone catch me
I'm falling victim to a revolutionary song, the Serengeti's clone
Back to put you backstabbers back on your spinal bone
You slipped your disc when I slid you my disc
You wanted to diss, but jumped on my dick
Grown men never should bite their tongue
Unless you eatin' pussy that smell like it's a stale plum
I got my finger on the motherfuckin' pistol
Aimin' it at a pig, Charlotte's web is gonna miss you
My issue isn't televised and you ain't gotta tell the wise
How to stay on beat, because our life's an instrumental
This is physical and mental, I won't sugarcoat it
You'd die from diabetes if these other niggas wrote it
And everything on TV just a figment of imagination
I don't want a plastic nation, dread that like a Haitian
While you motherfuckers waiting, I be off the slave ship
Building pyramids, writing my own hieroglyphs",Hiiipower
"I wrote this record while thirty thousand feet in the air
Stewardess complimenting me on my nappy hair
If I can fuck her in front of all of these passengers
They'll probably think I'm a terrorist, eat my asparagus
Then I'm asking her thoughts of a young nigga
Fast money and freedom, a crash dummy for dollars
I know you dying to meet him, I'll probably die in a minute
Just bury me with twenty bitches, twenty million, and a Comptown fitted",Hol' Up
"I don't give a fuck about no politics in rap, my nigga
Our lil' homie Stunna Deuce ain't never comin' back, my nigga
So you better go hard every time you jump on wax, my nigga
Fuck what they talkin' 'bout, your shit is where it's at, my nigga
Came in this game, you stuck your fangs in this game
You wore no chain in this game, your hood, your name in this game
Now you double up, time to bubble up the bread and huddle up
Stickin' to the scripts, now, here, if them Benjamins go cuddle up
Skip, hop, drip, drop
Flip, flop with the white tube sock
It goes, ""Sherm sticks, burn this""
That's what the product smell like when the chemicals mix
50-nigga salute, out the Compton zoo, with the extras
El Co's, Monte Carlos, Road Kings, and dressers
Rip Ridaz, P-Funkers, Mexicans, they fuck with you
Asians, they fuck with you, nobody can fuck with you",Hood Politics
"How much a dollar really cost?
The question is detrimental, paralyzin' my thoughts
Parasites in my stomach keep me with a gut feeling, y'all
Gotta see how I’m chillin' once I park this luxury car
Hopping out feeling big as Mutombo
""20 on pump 6,"" dirty Marcellus called me Dumbo
Twenty years ago, can't forget
Now I can lend him a ear or two
How to stack these residuals tenfold
The liberal concept of what men'll do
""20 on 6,"" he didn't hear me
Indigenous African only spoke Zulu
My American tongue was leery
Walked out the gas station
A homeless man with a semi-tan complexion
Asked me for ten Rand, stressin' about dry land
Deep water, powder blue skies that crack open
A piece of crack that he wanted, I knew he was smokin'
He begged and pleaded
Asked me to feed him twice, I didn't believe it
Told him, ""Beat it""
Contributin' money just for his pipe—I couldn't see it
He said, ""My son, temptation is one thing that I've defeated
Listen to me, I want a single bill from you
Nothin' less, nothin' more""
I told him I ain't have it and closed my door
Tell me, how much a dollar cost?",How Much a Dollar Cost
"Ayy, I remember syrup sandwiches and crime allowances
Finesse a nigga with some counterfeits, but now I'm countin’ this
Parmesan where my accountant lives, in fact, I'm downin' this
D’USSÉ with my boo bae, tastes like Kool-Aid for the analysts
Girl, I can buy your ass the world with my paystub
Ooh, that pussy good, won't you sit it on my taste bloods?
I get way too petty once you let me do the extras
Pull up on your block, then break it down: we playin' Tetris
AM to the PM, PM to the AM, funk
Piss out your per diem, you just gotta hate 'em, funk
If I quit your BM, I still ride Mercedes, funk
If I quit this season, I still be the greatest, funk
My left stroke just went viral
Right stroke put lil' baby in a spiral
Soprano C, we like to keep it on a high note
It's levels to it, you and I know",Humble.
"They wanna say it's a war outside, bomb in the street
Gun in the hood, mob of police
Rock on the corner with a line for the fiend
And a bottle full of lean and a model on the scheme, uh
These days of frustration keep y'all on tuck and rotation (Come to the front, yeah)
I duck these cold faces, post up fi-fie-fo-fum basis
Dreams of reality's peace (Oh, yeah)
Blow steam in the face of the beast
Sky could fall down, wind could cry now
Look at me motherfucker I smile-",I
"Life, to me, like a box of chocolate
Quid pro quo, somethin' for somethin', that's the obvious
Oh shit, flow's so sick, don't you swallow it
Bitin' my style, you're salmonella poison positive
I can just alleviate the rap industry politics
Milk the game up, never lactose intolerant
The last remainder of real shit, you know the obvious
Me, scholarship? No, streets put me through colleges
Be all you can be, true, but the problem is
Dream only a dream if work don't follow it
Remind me of the homies that used to know me, now follow this
I'll tell you my hypothesis, I'm probably just way too loyal
K Dizzle will do it for you, my niggas think I'm a god
Truthfully all of 'em spoiled, usually, you're never charged
But somethin' came over you once I took you to them fuckin' BET Awards
You lookin' at artistses like they're harvestses
So many Rollies around you and you want all of 'em
Somebody told me you thinkin' 'bout snatchin' jewelry
I should've listened when my grandmama said to me:",Institutionalized
"Uh, and Lord knows she's beautiful
Lord knows the usuals leaving her body sore
She take the little change she make to fix her nail cuticles
Lipstick is suitable to make you fiend for more
She play Mr. Shakur, that's her favorite rapper
Bumpin' ""Brenda's Got a Baby"" while a pervert yellin' at her
And she capture features of a woman, but only seventeen
Then seven cars start honking
She start running like Flo-Jo, don't care if they Joe Blow
If they got money to blow, a blow job is a sure go
And sure enough, don't see a dime of dirty dollars
Just give it all to her daddy, but she don't know her father
That's ironic
See, a block away from Lueders Park, I seen an El Camino parked
And in her heart, she hate it there, but in her mind, she made it where
Nothin' really matters, so she hit the back seat
Rosa Parks never a factor when she makin' ends meet",Keisha's Song (Her Pain)
"The yam is the power that be
You can smell it when I'm walkin' down the street
(Oh yes, we can, oh yes, we can)
I can dig rappin', but a rapper with a ghostwriter?
What the fuck happened? (Oh no!)
I swore I wouldn't tell, but most of y'all sharing bars
Like you got the bottom bunk in a two-man cell (A two-man cell)
Something's in the water (Something's in the water)
And if I gotta brown-nose for some gold
Then I'd rather be a bum than a motherfuckin' baller (Oh yeah!)",King Kunta
