Lyrics (Hook),Song Title
"This is the last time I'm asking you this
Put my name at the top of your list
This is the last time I'm asking you why
You break my heart in the blink of an eye, eye, eye

This is the last time I'm asking you this
Put my name at the top of your list
This is the last time I'm asking you why
You break my heart in the blink of an eye
This is the last time I'm asking you this (This is the last time I'm asking you this)
Put my name at the top of your list (Put my name at the top of your list)
This is the last time I'm asking you why (This is the last time I'm asking you why)
You break my heart in the blink of an eye (You break my heart)",The Last Time (Taylor's Version)
"I feel
The lavender haze creeping up on me
Surreal
I'm damned if I do give a damn what people say
No deal
The 1950s shit they want from me
I just wanna stay in that lavender haze",Lavender Haze
"Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do",Look What You Made Me Do
"Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say, ""Yes""

Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say, ""Yes""
Romeo, save me, they're trying to tell me how to feel
This love is difficult, but it's real
Don't be afraid, we'll make it out of this mess
It's a love story, baby, just say, ""Yes""

And I said, ""Romeo, save me, I've been feeling so alone
I keep waiting for you, but you never come
Is this in my head? I don't know what to think""
He knelt to the ground and pulled out a ring, and said
""Marry me, Juliet, you'll never have to be alone
I love you and that's all I really know
I talked to your dad, go pick out a white dress
It's a love story, baby, just say, 'Yes'""",Love Story (Taylor's Version)
"Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out and take me home
You're my, my, my, my lover",Lover
"I’m so sick of running as fast as I can
Wonderin' if I'd get there quicker if I was a man
And I'm so sick of them comin' at me again
'Cause if I was a man, then I'd be the man
I'd be the man (Man)
I’d be the man (Man)",The Man
"Me-e-e, ooh-ooh-ooh-ooh
I'm the only one of me
Baby, that's the fun of me
Eeh-eeh-eeh, ooh-ooh-ooh-ooh
You're the only one of you
Baby, that's the fun of you
And I promise that nobody's gonna love you like me-e-e

Me-e-e (Yeah), ooh-ooh-ooh-ooh (And I want ya, baby)
I'm the only one of me (I'm the only one of me)
Baby, that's the fun of me (Baby, that's the fun of me)
Eeh-eeh-eeh, ooh-ooh-ooh-ooh (Oh)
You're the only one of you (Oh)
Baby, that's the fun of you
And I promise that nobody's gonna love you like me-e-e",Me!
"Someday, I'll be livin' in a big old city
And all you're ever gonna be is mean
Someday, I'll be big enough so you can't hit me
And all you're ever gonna be is mean
Why you gotta be so mean?",Mean
"Cause you could be the one that I love
I could be the one that you dream of
A message in a bottle is all I can do
Standin' here, hopin' it gets to you
You could be the one that I keep, and I
I could be the reason you can't sleep at night
A mеssage in a bottle is all I can do
Standin' herе, hopin' it gets to yo
",Message in a Bottle (Taylor's Version) (From the Vault)
"Do you remember, we were sittin' there by the water?
You put your arm around me for the first time
You made a rebel of a careless man's careful daughter
You are the best thing that's ever been mine

Do you remember, we were sittin' there by the water?
You put your arm around me for the first time
You made a rebel of a careless man's careful daughter
You are the best thing that's ever been mine
Do you remember all the city lights on the water?
You saw me start to believe for the first time
You made a rebel of a careless man's careful daughter
You are the best thing that's ever been mine

You said, ""I remember how we felt sitting by the water
And every time I look at you, it's like the first time
I fell in love with a careless man's careful daughter
She is the best thing that's ever been mine""",Mine
"Hello, Mr. ""Perfectly fine""
How's your heart after breakin' mine?
Mr. ""Always at the right place at the right time,"" baby
Hello, Mr. ""Casually cruel""
Mr. ""Everything revolves around you""
I've been Miss Misery since your goodbye
And you're Mr. ""Perfectly fine""",Mr. Perfectly Fine (Taylor's Version) (From the Vault)
"Cause baby, I could build a castle
Out of all the bricks they threw at me
And every day is like a battle
But every night with us is like a dream
Baby, we're the new romantics
Come on, come along with me
Heartbreak is the national anthem
We sing it proudly
We are too busy dancing
To get knocked off our feet
Baby, we're the new romantics
The best people in life are free",New Romantics
"She says, ""I think he did it, but I just can't prove it""
I think he did it, but I just can't prove it
I think he did it, but I just can't prove it
No, no body, no crime
But I ain't lettin' up until the day I die

I think he did it, but I just can't prove it (He did it)
I think he did it, but I just can't prove it (He did it)
I think he did it, but I just can't prove it
No, no body, no crime
But I ain't lettin' up until the day I die

They think she did it, but they just can't prove it
They think she did it, but they just can't prove it
She thinks I did it, but she just can't prove it","No Body, No Crime"
"But only the young, only the young
Only the young, only the young
Can run
Can run
So run, and run, and run

Only one thing can save us
Only the young (Only the young)
Only the young (Only the young)
Only the young (Only the young)
Only the young
Only the young (Only the young)
Only the young (Only the young)
Only the young (Only the young)
Only the young
Only the young (Only the young; Don't say you're too tired to fight)
Only the young (Only the young; It's just a matter of time)
Only the young (Only the young; Up there's the finish line)
Only the young
Can run",Only the Young
"Our song is the slamming screen door
Sneakin' out late, tapping on your window
When we're on the phone and you talk real slow
'Cause it's late and your mama don't know
Our song is the way you laugh
The first date: ""Man, I didn't kiss her, and I should have""
And when I got home, 'fore I said amen
Askin' God if he could play it again",Our Song
"So don't you worry your pretty little mind
People throw rocks at things that shine
And life makes love look hard
The stakes are high, the water's rough
But this love is ours

So don't you worry your pretty little mind
People throw rocks at things that shine
And life makes love look hard
Don't you worry your pretty little mind
People throw rocks at things that shine
But they can't take what's ours
They can't take what's ours
The stakes are high, the water's rough
But this love is ours",Ours
"Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good
(Are we out of the woods?)

Are we out of the woods yet? Are we out of the woods yet? (Yeah, yeah)
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet? (Say, are we?)
Are we in the clear yet, in the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? (Yeah) Are we in the clear yet? (Yeah)
Are we in the clear yet, in the clear yet? Good (Clear yet? Good)
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good (Do you remember?)
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet, in the clear yet? Good",Out of the Woods
"I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lyin'
So, watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn

'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lyin'
So, watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn

'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lyin'
So, watch me strike a match on all my wasted time
In case you haven't heard
I really, really hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lyin'
So, watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn",Picture to Burn
"Losing him was blue like I'd never known
Missing him was dark gray, all alone (Woah)
Forgetting him was like tryin' to know somebody you never met
But loving him was red (Red, red)
(Red, red)
But loving him was red (Red, red)
(Red, red)",Red (Taylor's Version)
"Are you really gonna talk about timing in times like these?
And let all your damage damage me
And carry your baggage up my street
And make me your future history, it’s time
You've come a long way, open the blinds, let me see your face
You wouldn't be the first renegade to need somebody",Renegade (feat. Taylor Swift)
"""Come on, baby, with me
We're going to fly away from here
You were my best four years""

""Come on, baby, with me
We're going to fly away from here
Out of this curtained room and this hospital gray
We'll just disappear
Come on, baby, with me
We're going to fly away from here
You were my best four years""

Come on, baby, with me
We're going to fly away from here
Come on, baby, with me
We're going to fly away from here
You were my best four years",Ronan (Taylor's Version)
"Just close your eyes
The sun is going down
You'll be alright
No one can hurt you now
Come morning light
You and I'll be safe and sound",Safe & Sound (Taylor's Version)
"Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off
Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off",Shake It Off
"You should've said no, you should've gone home
You should've thought twice 'fore you let it all go
You should've known that word
'Bout what you did with her'd get back to me (Get back to me)
And I should've been there, in the back of your mind
I shouldn't be asking myself why
You shouldn't be begging for forgiveness at my feet
You should've said no
Baby, and you might still have me",Should've Said No
"Drop everything now, meet me in the pouring rain
Kiss me on the sidewalk, take away the pain
'Cause I see sparks fly whenever you smile
Get me with those green eyes, baby, as the lights go down
Give me something that'll haunt me when you're not around
'Cause I see sparks fly whenever you smile",Sparks Fly
"Don't say yes, run away now
I'll meet you when you're out
Of the church, at the back door
Don't wait or say a single vow
You need to hear me out
And they said, ""Speak now""

Don't say yes, run away now
I'll meet you when you're out
Of the church, at the back door
Don't wait or say a single vow
You need to hear me out
And they said, ""Speak now""
Don't say yes, run away now (Run away now)
I'll meet you when you're out
Of the church, at the back door
Don't wait or say a single vow (Say a single vow)
Your time is running out
And they said, ""Speak now""

So, don't say yes, run away now
I'll meet you when you're out
Of the church, at the back door
Don't wait or say a single vow
You need to hear me out
They said, ""Speak now""
And you say, ""Let's run away now (Run away now)
I'll meet you when I'm out
Of my tux, at the back door
Baby, I didn't say my vows (Say a single vow)
So glad you were around
When they said, 'Speak now'""",Speak Now
"And I never (Never)
Saw you comin'
And I'll never (Never)
Be the same",State of Grace (Taylor's Version)
"Now, I'm standing alone in a crowded room
And we're not speaking
And I'm dying to know
Is it killing you like it's killing me? Yeah
I don't know what to say since the twist of fate
When it all broke down
And the story of us looks a lot like a tragedy now

Now, I'm standing alone in a crowded room
And we're not speaking
And I'm dying to know
Is it killing you like it's killing me? Yeah
I don't know what to say since the twist of fate
When it all broke down
The story of us looks a lot like a tragedy now, now, now
And we're not speaking
And I'm dying to know
Is it killing you like it's killing me? Yeah
I don't know what to say since the twist of fate
'Cause we're goin' down
And the story of us looks a lot like a tragedy now",The Story of Us
"You got that James Dean daydream look in your eye / And I got that red lip classic thing that you like / And when we go crashing down, we come back every time / We never go out of style, we never go out of style",Style
"There you stand, ten feet tall
I will say, ""I knew it all along""
Your eyes are wider than distance
This life is sweeter than fiction

There you stand, ten feet tall
I will say, ""I knew it all along""
Your eyes are wider than distance
This life is sweeter than fiction
There you stand, next to me
All at once, the rest is history
Your eyes are wider than distance
This life is sweeter than fiction, fiction",Sweeter Than Fiction
"He's the reason for the teardrops on my guitar
The only thing that keeps me wishin' on a wishing star
He's the song in the car I keep singing, don't know why I do

'Cause he's the reason for the teardrops on my guitar
The only one who's got enough of me to break my heart
He's the song in the car I keep singing, don't know why I do",Teardrops on My Guitar
"But when you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me

Is, ""When you think Tim McGraw
I hope you think my favorite song
Someday you'll turn your radio on
I hope it takes you back to that place""
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me",Tim McGraw
"Well, can you feel this magic in the air?
It must have been the way you kissed me
Fell in love when I saw you standing there
It must have been the way
Today was a fairytale
It must have been the way
Today was a fairytale",Today Was a Fairytale (Taylor's Version)
"So maybe it's true that I can't live without you
And maybe two is better than one
But there's so much time to figure out the rest of my life
And you've already got me coming undone
And I'm thinking two is better than one",Two Is Better Than One (feat. Taylor Swift)
"We are never, evеr, ever getting back togеther
We are never, ever, ever getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never, ever, ever, ever getting back together",We Are Never Ever Getting Back Together (Taylor's Version)
"That I'm not a princess, this ain't a fairytale
I'm not the one you'll sweep off her feet, lead her up the stairwell
This ain't Hollywood, this is a small town
I was a dreamer before you went and let me down
Now it's too late for you and your white horse
To come around

'Cause I'm not your princess, this ain't our fairytale
I'm gonna find someone someday
Who might actually treat me well
This is a big world, that was a small town
There in my rearview mirror disappearing now
And it's too late for you and your white horse
Now it's too late for you and your white horse
To catch me now",White Horse (Taylor's Version)
"Say you'll remember me
Standin' in a nice dress
Starin' at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your
Wildest dreams, ah, ha
Wildest dreams, ah, ha",Wildest Dreams (Taylor's Version)
"The more that you say, the less I know
Wherever you stray, I follow
I'm begging for you to take my hand
Wreck my plans, that's my man",Willow
"I lived and I learned
Had you, got burned
Held out and held on
God knows, too long, and wasted time
Lost tears, swore that I'd get out of here
But no amount of freedom gets you clean
I've still got you all over me

I lived and I learned
And found out what it was to turn around
And see that we
Were never really meant to be
So I lied, and I cried
And I watched a part of myself die
'Cause no amount of freedom gets you clean
I've still got you all over me",You All Over Me (Taylor's Version) (From the Vault)
"If you could see that I'm the onе who understands you
Been here all along, so why can't you see?
You bеlong with me, you belong with me

If you could see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me
Standing by and waiting at your back door
All this time how could you not know, baby?
You belong with me, you belong with me",You Belong with Me (Taylor's Version)
"So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
You need to calm down, you're being too loud
And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)
You need to just stop, like can you just not step on my gown?
You need to calm down

Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
You need to calm down (You need to calm down)
You're being too loud (You're being too loud)
And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)
You need to just stop (Can you stop?)
Like can you just not step on our gowns?
You need to calm down",You Need to Calm Down
"You don't have to call anymore
I won't pick up the phone
This is the last straw
Don't wanna hurt anymore
And you can tell me that you're sorry
But I don't believe you, baby, like I did before
You're not sorry
No, no, oh-oh",You're Not Sorry (Taylor's Version)
